Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
50;75;10;22;0,05232596397399902;1,430511474609375e-06;0,036663055419921875;0;0;8;0,0026290416717529297;is_out(a0)
50;75;10;23;0,06050992012023926;4,76837158203125e-07;0,03831601142883301;0;2;9;0,0032842159271240234;Unstable
100;150;20;13;0,2202608585357666;2,384185791015625e-07;0,13315582275390625;0;0;28;0,0047397613525390625;is_out(a0)
200;300;10;10;1,378558874130249;4,76837158203125e-07;0,21070265769958496;0;8;34;0,0072784423828125;Unstable
250;375;10;10;1,2215197086334229;4,76837158203125e-07;0,3027455806732178;0;0;38;0,0071947574615478516;is_undec(a0)
100;150;10;1;0,14004755020141602;4,76837158203125e-07;0,08633089065551758;0;2;1;0,004150390625;Unstable
50;75;40;5;0,3224198818206787;2,384185791015625e-07;0,08976602554321289;0;9;13;0,0037605762481689453;Unstable
150;225;10;0;0,24420642852783203;4,76837158203125e-07;0,14627528190612793;0;0;0;0,006261587142944336;is_in(a0)
250;375;30;15;37,696528673172;4,76837158203125e-07;0,8731396198272705;0;17;117;0,01104426383972168;Unstable
200;300;10;3;0,7665119171142578;4,76837158203125e-07;0,2207167148590088;0;2;36;0,007208108901977539;Unstable
250;375;40;24;;;;1;;150;0,01265716552734375;Unstable
100;150;40;18;0,5186269283294678;2,384185791015625e-07;0,2326054573059082;0;0;0;0,006033182144165039;is_out(a0)
200;300;40;12;2,624117136001587;4,76837158203125e-07;0,7785775661468506;0;0;133;0,010725975036621094;is_out(a0)
200;300;40;17;;;;1;;141;0,010042667388916016;Unstable
200;300;30;14;12,161606311798096;4,76837158203125e-07;0,5635833740234375;0;10;88;0,009307861328125;Unstable
100;150;20;11;0,4518122673034668;4,76837158203125e-07;0,13416266441345215;0;8;36;0,005025148391723633;Unstable
250;375;40;16;;;;1;;115;0,011605501174926758;Unstable
150;225;40;20;0,9167532920837402;4,76837158203125e-07;0,4533376693725586;0;0;0;0,007713794708251953;is_out(a0)
100;150;30;1;4,013037204742432;2,384185791015625e-07;0,17953109741210938;0;46;38;0,005903959274291992;Unstable
100;150;40;6;0,41620922088623047;4,76837158203125e-07;0,22375750541687012;0;0;0;0,005871295928955078;is_in(a0)
50;75;20;23;0,0871434211730957;4,76837158203125e-07;0,06085681915283203;0;0;13;0,003622770309448242;is_out(a0)
150;225;30;13;0,8522708415985107;2,384185791015625e-07;0,339557409286499;0;0;2;0,008026838302612305;is_out(a0)
100;150;10;20;0,1284191608428955;4,76837158203125e-07;0,08592963218688965;0;0;0;0,00420069694519043;is_in(a0)
250;375;40;23;3,093177556991577;2,384185791015625e-07;1,5838901996612549;0;0;0;0,011771440505981445;is_out(a0)
50;75;20;1;0,08454728126525879;1,430511474609375e-06;0,05869174003601074;0;0;18;0,0033516883850097656;is_out(a0)
150;225;30;3;0,8407895565032959;4,76837158203125e-07;0,33928966522216797;0;0;65;0,007991313934326172;is_out(a0)
200;300;10;2;2,0022969245910645;2,384185791015625e-07;0,2148900032043457;0;25;35;0,006766319274902344;Unstable
150;225;20;5;0,5095410346984863;2,384185791015625e-07;0,24339604377746582;0;0;48;0,006165266036987305;is_out(a0)
50;75;20;14;0,09934878349304199;2,384185791015625e-07;0,05849742889404297;0;6;3;0,0034027099609375;Unstable
150;225;20;10;0,4813358783721924;4,76837158203125e-07;0,24955391883850098;0;0;0;0,006369829177856445;is_in(a0)
100;150;40;2;;;;1;;66;0,006755352020263672;Unstable
250;375;20;12;4,218013048171997;2,384185791015625e-07;0,5889041423797607;0;2;83;0,009865999221801758;Unstable
